AFFGEOID,NAME,POPEST_2017
0500000US16035,"Clearwater County, Idaho",8546
0500000US16037,"Custer County, Idaho",4172
0500000US16039,"Elmore County, Idaho",26823
0500000US16041,"Franklin County, Idaho",13564
0500000US16043,"Fremont County, Idaho",13094
0500000US16045,"Gem County, Idaho",17379
0500000US16047,"Gooding County, Idaho",15124
0500000US16049,"Idaho County, Idaho",16369
0500000US16051,"Jefferson County, Idaho",28446
0500000US16053,"Jerome County, Idaho",23627
0500000US16055,"Kootenai County, Idaho",157637
0500000US16057,"Latah County, Idaho",39333
0500000US16059,"Lemhi County, Idaho",7875
0500000US16061,"Lewis County, Idaho",3887
0500000US16063,"Lincoln County, Idaho",5318
0500000US16065,"Madison County, Idaho",39141
0500000US16067,"Minidoka County, Idaho",20729
0500000US16069,"Nez Perce County, Idaho",40385
0500000US16071,"Oneida County, Idaho",4427
0500000US16073,"Owyhee County, Idaho",11628
0500000US16075,"Payette County, Idaho",23215
0500000US16077,"Power County, Idaho",7600
0500000US16079,"Shoshone County, Idaho",12542
0500000US16081,"Teton County, Idaho",11381
0500000US16083,"Twin Falls County, Idaho",85124
0500000US16085,"Valley County, Idaho",10687
0500000US16087,"Washington County, Idaho",10121
0500000US17001,"Adams County, Illinois",66234
0500000US17003,"Alexander County, Illinois",6315
0500000US17005,"Bond County, Illinois",16948
0500000US17007,"Boone County, Illinois",53513
0500000US17009,"Brown County, Illinois",6716
0500000US17011,"Bureau County, Illinois",33243
0500000US17013,"Calhoun County, Illinois",4833
0500000US17015,"Carroll County, Illinois",14518
0500000US17017,"Cass County, Illinois",12505
0500000US17019,"Champaign County, Illinois",209399
0500000US17021,"Christian County, Illinois",33102
0500000US17023,"Clark County, Illinois",15767
0500000US17025,"Clay County, Illinois",13269
0500000US17027,"Clinton County, Illinois",37614
0500000US17029,"Coles County, Illinois",51979
0500000US17031,"Cook County, Illinois",5211263
0500000US17033,"Crawford County, Illinois",18961
0500000US17035,"Cumberland County, Illinois",10908
0500000US17037,"DeKalb County, Illinois",104733
0500000US17039,"De Witt County, Illinois",15942
0500000US17041,"Douglas County, Illinois",19748
0500000US17043,"DuPage County, Illinois",930128
0500000US17045,"Edgar County, Illinois",17328
0500000US17047,"Edwards County, Illinois",6486
0500000US17049,"Effingham County, Illinois",34132
0500000US17051,"Fayette County, Illinois",21784
0500000US17053,"Ford County, Illinois",13280
0500000US17055,"Franklin County, Illinois",39041
0500000US17057,"Fulton County, Illinois",35110
0500000US17059,"Gallatin County, Illinois",5080
0500000US17061,"Greene County, Illinois",13174
0500000US17063,"Grundy County, Illinois",50586
0500000US17065,"Hamilton County, Illinois",8194
